HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"30,30,30,30,30",0.0001,50000,0.0625,1,0.074968,0.998356,1.07332
"30,30,30,30,30",0.0001,50000,0.0625,2,0.0716576,0.998555,1.07021
"30,30,30,30,30",0.0001,50000,0.0625,3,0.0693931,0.998422,1.06781
"30,30,30,30,30",0.0001,50000,0.0625,4,0.0675794,0.998186,1.06577
"30,30,30,30,30",0.0001,50000,0.0625,5,0.0660313,0.997913,1.06394
"30,30,30,30,30",0.0001,50000,0.0625,6,0.0646626,0.997627,1.06229
"30,30,30,30,30",0.0001,50000,0.0625,7,0.0634254,0.997339,1.06076
"30,30,30,30,30",0.0001,50000,0.0625,8,0.0622895,0.99705,1.05934
"30,30,30,30,30",0.0001,50000,0.0625,9,0.0612347,0.996763,1.058
"30,30,30,30,30",0.0001,50000,0.0625,10,0.0602466,0.996478,1.05672
"30,30,30,30,30",0.0001,50000,0.0625,11,0.0593145,0.996193,1.05551
"30,30,30,30,30",0.0001,50000,0.0625,12,0.0584302,0.995909,1.05434
"30,30,30,30,30",0.0001,50000,0.0625,13,0.0575873,0.995624,1.05321
"30,30,30,30,30",0.0001,50000,0.0625,14,0.0567806,0.995338,1.05212
"30,30,30,30,30",0.0001,50000,0.0625,15,0.056006,0.99505,1.05106
"30,30,30,30,30",0.0001,50000,0.0625,16,0.0552599,0.99476,1.05002
"30,30,30,30,30",0.0001,50000,0.0625,17,0.0545394,0.994466,1.04901
"30,30,30,30,30",0.0001,50000,0.0625,18,0.0538421,0.994168,1.04801
"30,30,30,30,30",0.0001,50000,0.0625,19,0.0531658,0.993867,1.04703
"30,30,30,30,30",0.0001,50000,0.0625,20,0.0525088,0.993561,1.04607
"30,30,30,30,30",0.0001,50000,0.0625,21,0.0518694,0.993251,1.04512
"30,30,30,30,30",0.0001,50000,0.0625,22,0.0512464,0.992937,1.04418
"30,30,30,30,30",0.0001,50000,0.0625,23,0.0506385,0.992617,1.04326
"30,30,30,30,30",0.0001,50000,0.0625,24,0.0500447,0.992293,1.04234
"30,30,30,30,30",0.0001,50000,0.0625,25,0.049464,0.991963,1.04143
"30,30,30,30,30",0.0001,50000,0.0625,26,0.0488956,0.991627,1.04052
"30,30,30,30,30",0.0001,50000,0.0625,27,0.0483386,0.991286,1.03962
"30,30,30,30,30",0.0001,50000,0.0625,28,0.0477925,0.990938,1.03873
"30,30,30,30,30",0.0001,50000,0.0625,29,0.0472566,0.990584,1.03784
"30,30,30,30,30",0.0001,50000,0.0625,30,0.0467304,0.990224,1.03695
"30,30,30,30,30",0.0001,50000,0.0625,31,0.0462133,0.989858,1.03607
"30,30,30,30,30",0.0001,50000,0.0625,32,0.0457048,0.989484,1.03519
"30,30,30,30,30",0.0001,50000,0.0625,33,0.0452045,0.989104,1.03431
"30,30,30,30,30",0.0001,50000,0.0625,34,0.0447122,0.988716,1.03343
"30,30,30,30,30",0.0001,50000,0.0625,35,0.0442273,0.988321,1.03255
"30,30,30,30,30",0.0001,50000,0.0625,36,0.0437495,0.987919,1.03167
