HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"30,30,30,30,30",0.0001,50000,0.0625,1,0.102876,0.997125,1.1
"30,30,30,30,30",0.0001,50000,0.0625,2,0.102004,0.995979,1.09798
"30,30,30,30,30",0.0001,50000,0.0625,3,0.101305,0.995018,1.09632
"30,30,30,30,30",0.0001,50000,0.0625,4,0.100718,0.994108,1.09483
"30,30,30,30,30",0.0001,50000,0.0625,5,0.100186,0.993211,1.0934
"30,30,30,30,30",0.0001,50000,0.0625,6,0.0996956,0.992311,1.09201
"30,30,30,30,30",0.0001,50000,0.0625,7,0.0992431,0.9914,1.09064
"30,30,30,30,30",0.0001,50000,0.0625,8,0.0988211,0.990473,1.08929
"30,30,30,30,30",0.0001,50000,0.0625,9,0.0984229,0.989528,1.08795
"30,30,30,30,30",0.0001,50000,0.0625,10,0.0980431,0.988562,1.08661
"30,30,30,30,30",0.0001,50000,0.0625,11,0.0976775,0.987576,1.08525
"30,30,30,30,30",0.0001,50000,0.0625,12,0.097323,0.986567,1.08389
"30,30,30,30,30",0.0001,50000,0.0625,13,0.0969774,0.985533,1.08251
"30,30,30,30,30",0.0001,50000,0.0625,14,0.096639,0.984475,1.08111
"30,30,30,30,30",0.0001,50000,0.0625,15,0.0963064,0.983391,1.0797
"30,30,30,30,30",0.0001,50000,0.0625,16,0.0959787,0.98228,1.07826
"30,30,30,30,30",0.0001,50000,0.0625,17,0.0956554,0.981141,1.0768
"30,30,30,30,30",0.0001,50000,0.0625,18,0.0953358,0.979973,1.07531
"30,30,30,30,30",0.0001,50000,0.0625,19,0.0950196,0.978776,1.0738
"30,30,30,30,30",0.0001,50000,0.0625,20,0.0947062,0.977548,1.07225
"30,30,30,30,30",0.0001,50000,0.0625,21,0.094395,0.976288,1.07068
"30,30,30,30,30",0.0001,50000,0.0625,22,0.0940849,0.974996,1.06908
"30,30,30,30,30",0.0001,50000,0.0625,23,0.0937752,0.973671,1.06745
"30,30,30,30,30",0.0001,50000,0.0625,24,0.093465,0.972313,1.06578
"30,30,30,30,30",0.0001,50000,0.0625,25,0.0931537,0.970919,1.06407
"30,30,30,30,30",0.0001,50000,0.0625,26,0.0928408,0.96949,1.06233
"30,30,30,30,30",0.0001,50000,0.0625,27,0.0925259,0.968025,1.06055
"30,30,30,30,30",0.0001,50000,0.0625,28,0.0922087,0.966522,1.05873
"30,30,30,30,30",0.0001,50000,0.0625,29,0.0918889,0.964982,1.05687
"30,30,30,30,30",0.0001,50000,0.0625,30,0.0915663,0.963403,1.05497
"30,30,30,30,30",0.0001,50000,0.0625,31,0.0912408,0.961785,1.05303
"30,30,30,30,30",0.0001,50000,0.0625,32,0.0909123,0.960127,1.05104
"30,30,30,30,30",0.0001,50000,0.0625,33,0.0905807,0.958429,1.04901
"30,30,30,30,30",0.0001,50000,0.0625,34,0.0902459,0.956689,1.04694
"30,30,30,30,30",0.0001,50000,0.0625,35,0.0899078,0.954908,1.04482
"30,30,30,30,30",0.0001,50000,0.0625,36,0.0895664,0.953084,1.04265
"30,30,30,30,30",0.0001,50000,0.0625,37,0.0892216,0.951217,1.04044
"30,30,30,30,30",0.0001,50000,0.0625,38,0.0888734,0.949306,1.03818
"30,30,30,30,30",0.0001,50000,0.0625,39,0.0885217,0.947352,1.03587
"30,30,30,30,30",0.0001,50000,0.0625,40,0.0881666,0.945352,1.03352
"30,30,30,30,30",0.0001,50000,0.0625,41,0.0878079,0.943308,1.03112
"30,30,30,30,30",0.0001,50000,0.0625,42,0.0874457,0.941217,1.02866
"30,30,30,30,30",0.0001,50000,0.0625,43,0.0870799,0.939081,1.02616
"30,30,30,30,30",0.0001,50000,0.0625,44,0.0867106,0.936897,1.02361
"30,30,30,30,30",0.0001,50000,0.0625,45,0.0863378,0.934666,1.021
"30,30,30,30,30",0.0001,50000,0.0625,46,0.0859614,0.932388,1.01835
"30,30,30,30,30",0.0001,50000,0.0625,47,0.0855815,0.930062,1.01564
"30,30,30,30,30",0.0001,50000,0.0625,48,0.085198,0.927687,1.01289
"30,30,30,30,30",0.0001,50000,0.0625,49,0.0848109,0.925264,1.01007
"30,30,30,30,30",0.0001,50000,0.0625,50,0.0844203,0.922791,1.00721
"30,30,30,30,30",0.0001,50000,0.0625,51,0.0840262,0.920269,1.0043
"30,30,30,30,30",0.0001,50000,0.0625,52,0.0836285,0.917697,1.00133
"30,30,30,30,30",0.0001,50000,0.0625,53,0.0832271,0.915075,0.998302
"30,30,30,30,30",0.0001,50000,0.0625,54,0.0828222,0.912402,0.995224
"30,30,30,30,30",0.0001,50000,0.0625,55,0.0824136,0.909678,0.992092
"30,30,30,30,30",0.0001,50000,0.0625,56,0.0820013,0.906904,0.988905
"30,30,30,30,30",0.0001,50000,0.0625,57,0.0815853,0.904078,0.985663
"30,30,30,30,30",0.0001,50000,0.0625,58,0.0811655,0.9012,0.982365
"30,30,30,30,30",0.0001,50000,0.0625,59,0.0807419,0.89827,0.979012
"30,30,30,30,30",0.0001,50000,0.0625,60,0.0803145,0.895288,0.975603
"30,30,30,30,30",0.0001,50000,0.0625,61,0.0798831,0.892254,0.972137
"30,30,30,30,30",0.0001,50000,0.0625,62,0.0794478,0.889167,0.968615
"30,30,30,30,30",0.0001,50000,0.0625,63,0.0790086,0.886028,0.965036
"30,30,30,30,30",0.0001,50000,0.0625,64,0.0785653,0.882835,0.9614
"30,30,30,30,30",0.0001,50000,0.0625,65,0.0781179,0.879589,0.957706
"30,30,30,30,30",0.0001,50000,0.0625,66,0.0776666,0.876289,0.953955
"30,30,30,30,30",0.0001,50000,0.0625,67,0.0772111,0.872936,0.950147
"30,30,30,30,30",0.0001,50000,0.0625,68,0.0767517,0.869528,0.94628
"30,30,30,30,30",0.0001,50000,0.0625,69,0.0762883,0.866067,0.942356
"30,30,30,30,30",0.0001,50000,0.0625,70,0.0758209,0.862552,0.938373
"30,30,30,30,30",0.0001,50000,0.0625,71,0.0753496,0.858982,0.934332
"30,30,30,30,30",0.0001,50000,0.0625,72,0.0748745,0.855358,0.930233
"30,30,30,30,30",0.0001,50000,0.0625,73,0.0743956,0.85168,0.926076
"30,30,30,30,30",0.0001,50000,0.0625,74,0.0739131,0.847947,0.92186
"30,30,30,30,30",0.0001,50000,0.0625,75,0.073427,0.844159,0.917586
"30,30,30,30,30",0.0001,50000,0.0625,76,0.0729374,0.840316,0.913253
"30,30,30,30,30",0.0001,50000,0.0625,77,0.0724445,0.836418,0.908863
"30,30,30,30,30",0.0001,50000,0.0625,78,0.0719484,0.832466,0.904414
"30,30,30,30,30",0.0001,50000,0.0625,79,0.0714493,0.828459,0.899908
"30,30,30,30,30",0.0001,50000,0.0625,80,0.0709472,0.824396,0.895344
"30,30,30,30,30",0.0001,50000,0.0625,81,0.0704424,0.820279,0.890722
"30,30,30,30,30",0.0001,50000,0.0625,82,0.0699349,0.816107,0.886042
"30,30,30,30,30",0.0001,50000,0.0625,83,0.0694251,0.811881,0.881306
"30,30,30,30,30",0.0001,50000,0.0625,84,0.068913,0.807599,0.876512
"30,30,30,30,30",0.0001,50000,0.0625,85,0.0683989,0.803264,0.871663
"30,30,30,30,30",0.0001,50000,0.0625,86,0.0678829,0.798873,0.866756
"30,30,30,30,30",0.0001,50000,0.0625,87,0.0673652,0.794429,0.861794
"30,30,30,30,30",0.0001,50000,0.0625,88,0.0668461,0.789931,0.856777
"30,30,30,30,30",0.0001,50000,0.0625,89,0.0663258,0.785379,0.851705
"30,30,30,30,30",0.0001,50000,0.0625,90,0.0658044,0.780773,0.846578
"30,30,30,30,30",0.0001,50000,0.0625,91,0.0652822,0.776115,0.841397
"30,30,30,30,30",0.0001,50000,0.0625,92,0.0647595,0.771403,0.836163
"30,30,30,30,30",0.0001,50000,0.0625,93,0.0642365,0.766639,0.830875
"30,30,30,30,30",0.0001,50000,0.0625,94,0.0637134,0.761823,0.825536
"30,30,30,30,30",0.0001,50000,0.0625,95,0.0631904,0.756955,0.820145
"30,30,30,30,30",0.0001,50000,0.0625,96,0.0626679,0.752036,0.814704
"30,30,30,30,30",0.0001,50000,0.0625,97,0.062146,0.747066,0.809212
"30,30,30,30,30",0.0001,50000,0.0625,98,0.061625,0.742045,0.80367
"30,30,30,30,30",0.0001,50000,0.0625,99,0.0611052,0.736975,0.798081
"30,30,30,30,30",0.0001,50000,0.0625,100,0.0605867,0.731856,0.792443
"30,30,30,30,30",0.0001,50000,0.0625,101,0.06007,0.726688,0.786758
"30,30,30,30,30",0.0001,50000,0.0625,102,0.0595551,0.721472,0.781027
"30,30,30,30,30",0.0001,50000,0.0625,103,0.0590425,0.716208,0.775251
"30,30,30,30,30",0.0001,50000,0.0625,104,0.0585322,0.710898,0.76943
"30,30,30,30,30",0.0001,50000,0.0625,105,0.0580247,0.705542,0.763566
"30,30,30,30,30",0.0001,50000,0.0625,106,0.0575201,0.70014,0.75766
"30,30,30,30,30",0.0001,50000,0.0625,107,0.0570188,0.694694,0.751712
"30,30,30,30,30",0.0001,50000,0.0625,108,0.0565209,0.689203,0.745724
"30,30,30,30,30",0.0001,50000,0.0625,109,0.0560269,0.68367,0.739697
"30,30,30,30,30",0.0001,50000,0.0625,110,0.0555369,0.678094,0.733631
"30,30,30,30,30",0.0001,50000,0.0625,111,0.0550512,0.672477,0.727528
"30,30,30,30,30",0.0001,50000,0.0625,112,0.0545701,0.666819,0.721389
"30,30,30,30,30",0.0001,50000,0.0625,113,0.054094,0.661122,0.715216
"30,30,30,30,30",0.0001,50000,0.0625,114,0.0536229,0.655385,0.709008
"30,30,30,30,30",0.0001,50000,0.0625,115,0.0531574,0.649611,0.702768
"30,30,30,30,30",0.0001,50000,0.0625,116,0.0526975,0.643799,0.696497
"30,30,30,30,30",0.0001,50000,0.0625,117,0.0522436,0.637952,0.690195
"30,30,30,30,30",0.0001,50000,0.0625,118,0.0517959,0.632069,0.683865
"30,30,30,30,30",0.0001,50000,0.0625,119,0.0513547,0.626152,0.677507
"30,30,30,30,30",0.0001,50000,0.0625,120,0.0509202,0.620202,0.671122
"30,30,30,30,30",0.0001,50000,0.0625,121,0.0504927,0.61422,0.664713
"30,30,30,30,30",0.0001,50000,0.0625,122,0.0500724,0.608207,0.65828
"30,30,30,30,30",0.0001,50000,0.0625,123,0.0496596,0.602164,0.651824
"30,30,30,30,30",0.0001,50000,0.0625,124,0.0492544,0.596092,0.645347
"30,30,30,30,30",0.0001,50000,0.0625,125,0.0488572,0.589992,0.63885
"30,30,30,30,30",0.0001,50000,0.0625,126,0.0484681,0.583866,0.632334
"30,30,30,30,30",0.0001,50000,0.0625,127,0.0480873,0.577714,0.625802
"30,30,30,30,30",0.0001,50000,0.0625,128,0.0477151,0.571538,0.619253
"30,30,30,30,30",0.0001,50000,0.0625,129,0.0473516,0.565339,0.61269
"30,30,30,30,30",0.0001,50000,0.0625,130,0.0469971,0.559117,0.606114
"30,30,30,30,30",0.0001,50000,0.0625,131,0.0466518,0.552875,0.599527
"30,30,30,30,30",0.0001,50000,0.0625,132,0.0463158,0.546614,0.592929
"30,30,30,30,30",0.0001,50000,0.0625,133,0.0459894,0.540334,0.586323
"30,30,30,30,30",0.0001,50000,0.0625,134,0.0456729,0.534037,0.579709
"30,30,30,30,30",0.0001,50000,0.0625,135,0.0453663,0.527724,0.57309
"30,30,30,30,30",0.0001,50000,0.0625,136,0.0450698,0.521396,0.566466
