HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"30,30,30,30,30",0.0001,50000,0.0783018,70,7.74572,1.37182e-05,7.74573
"30,30,30,30,30",0.0001,50000,0.0783018,71,7.73715,1.39642e-05,7.73716
"30,30,30,30,30",0.0001,50000,0.0783018,72,7.72854,1.42133e-05,7.72856
"30,30,30,30,30",0.0001,50000,0.0783018,73,7.7199,1.44656e-05,7.71991
"30,30,30,30,30",0.0001,50000,0.0783018,74,7.71121,1.47213e-05,7.71122
"30,30,30,30,30",0.0001,50000,0.0783018,75,7.70247,1.49808e-05,7.70249
"30,30,30,30,30",0.0001,50000,0.0783018,76,7.69369,1.52443e-05,7.69371
"30,30,30,30,30",0.0001,50000,0.0783018,77,7.68487,1.55121e-05,7.68488
"30,30,30,30,30",0.0001,50000,0.0783018,78,7.67599,1.57844e-05,7.67601
"30,30,30,30,30",0.0001,50000,0.0783018,79,7.66706,1.60617e-05,7.66708
"30,30,30,30,30",0.0001,50000,0.0783018,80,7.65808,1.63441e-05,7.6581
"30,30,30,30,30",0.0001,50000,0.0783018,81,7.64905,1.66321e-05,7.64907
"30,30,30,30,30",0.0001,50000,0.0783018,82,7.63996,1.69261e-05,7.63998
"30,30,30,30,30",0.0001,50000,0.0783018,83,7.63082,1.72265e-05,7.63084
"30,30,30,30,30",0.0001,50000,0.0783018,84,7.62162,1.75338e-05,7.62163
"30,30,30,30,30",0.0001,50000,0.0783018,85,7.61235,1.78483e-05,7.61237
"30,30,30,30,30",0.0001,50000,0.0783018,86,7.60302,1.81707e-05,7.60304
"30,30,30,30,30",0.0001,50000,0.0783018,87,7.59364,1.85015e-05,7.59365
"30,30,30,30,30",0.0001,50000,0.0783018,88,7.58418,1.88412e-05,7.5842
"30,30,30,30,30",0.0001,50000,0.0783018,89,7.57466,1.91906e-05,7.57468
"30,30,30,30,30",0.0001,50000,0.0783018,90,7.56507,1.95502e-05,7.56509
"30,30,30,30,30",0.0001,50000,0.0783018,91,7.55542,1.99208e-05,7.55544
"30,30,30,30,30",0.0001,50000,0.0783018,92,7.54569,2.03032e-05,7.54571
"30,30,30,30,30",0.0001,50000,0.0783018,93,7.53589,2.06981e-05,7.53591
"30,30,30,30,30",0.0001,50000,0.0783018,94,7.52601,2.11063e-05,7.52603
"30,30,30,30,30",0.0001,50000,0.0783018,95,7.51607,2.15289e-05,7.51609
"30,30,30,30,30",0.0001,50000,0.0783018,96,7.50604,2.19666e-05,7.50606
