HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"30,30,30,30,30,30,30",0.001,3000,0.0783018,1,7.55845,0,7.55845
"30,30,30,30,30,30,30",0.001,3000,0.0783018,2,7.15442,0,7.15442
"30,30,30,30,30,30,30",0.001,3000,0.0783018,3,6.8299,0,6.8299
"30,30,30,30,30,30,30",0.001,3000,0.0783018,4,6.48006,0,6.48006
"30,30,30,30,30,30,30",0.001,3000,0.0783018,5,6.03221,0,6.03221
"30,30,30,30,30,30,30",0.001,3000,0.0783018,6,5.35774,0,5.35774
"30,30,30,30,30,30,30",0.001,3000,0.0783018,7,4.23946,0,4.23946
"30,30,30,30,30,30,30",0.001,3000,0.0783018,8,2.53074,0,2.53074
"30,30,30,30,30,30,30",0.001,3000,0.0783018,9,1.10364,0,1.10364
"30,30,30,30,30,30,30",0.001,3000,0.0783018,10,0.796828,0,0.796828
"30,30,30,30,30,30,30",0.001,3000,0.0783018,11,0.623292,0,0.623292
"30,30,30,30,30,30,30",0.001,3000,0.0783018,12,0.552752,0,0.552752
"30,30,30,30,30,30,30",0.001,3000,0.0783018,13,0.668423,0,0.668423
"30,30,30,30,30,30,30",0.001,3000,0.0783018,14,0.459284,0,0.459284
"30,30,30,30,30,30,30",0.001,3000,0.0783018,15,0.493135,0,0.493135
"30,30,30,30,30,30,30",0.001,3000,0.0783018,16,0.3354,0,0.3354
"30,30,30,30,30,30,30",0.001,3000,0.0783018,17,0.320717,0,0.320717
"30,30,30,30,30,30,30",0.001,3000,0.0783018,18,0.277059,0,0.277059
"30,30,30,30,30,30,30",0.001,3000,0.0783018,19,0.264542,0,0.264542
"30,30,30,30,30,30,30",0.001,3000,0.0783018,20,0.245852,0,0.245852
"30,30,30,30,30,30,30",0.001,3000,0.0783018,21,0.236963,0,0.236963
"30,30,30,30,30,30,30",0.001,3000,0.0783018,22,0.226526,0,0.226526
"30,30,30,30,30,30,30",0.001,3000,0.0783018,23,0.219837,0,0.219837
"30,30,30,30,30,30,30",0.001,3000,0.0783018,24,0.212693,0,0.212693
"30,30,30,30,30,30,30",0.001,3000,0.0783018,25,0.207265,0,0.207265
"30,30,30,30,30,30,30",0.001,3000,0.0783018,26,0.201678,0,0.201678
"30,30,30,30,30,30,30",0.001,3000,0.0783018,27,0.197031,0,0.197031
"30,30,30,30,30,30,30",0.001,3000,0.0783018,28,0.192315,0,0.192315
"30,30,30,30,30,30,30",0.001,3000,0.0783018,29,0.18821,0,0.18821
"30,30,30,30,30,30,30",0.001,3000,0.0783018,30,0.184064,0,0.184064
"30,30,30,30,30,30,30",0.001,3000,0.0783018,31,0.180386,0,0.180386
"30,30,30,30,30,30,30",0.001,3000,0.0783018,32,0.176667,0,0.176667
"30,30,30,30,30,30,30",0.001,3000,0.0783018,33,0.173368,0,0.173368
"30,30,30,30,30,30,30",0.001,3000,0.0783018,34,0.170012,0,0.170012
"30,30,30,30,30,30,30",0.001,3000,0.0783018,35,0.167104,0,0.167104
"30,30,30,30,30,30,30",0.001,3000,0.0783018,36,0.164102,0,0.164102
"30,30,30,30,30,30,30",0.001,3000,0.0783018,37,0.161666,0,0.161666
"30,30,30,30,30,30,30",0.001,3000,0.0783018,38,0.159062,0,0.159062
"30,30,30,30,30,30,30",0.001,3000,0.0783018,39,0.157298,0,0.157298
"30,30,30,30,30,30,30",0.001,3000,0.0783018,40,0.15519,0,0.15519
"30,30,30,30,30,30,30",0.001,3000,0.0783018,41,0.154491,0,0.154491
"30,30,30,30,30,30,30",0.001,3000,0.0783018,42,0.15298,0,0.15298
