HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"30,30,30,30",0.0001,3000,0.0783018,1,8.05421,0,8.05421
"30,30,30,30",0.0001,3000,0.0783018,2,8.01387,0,8.01387
"30,30,30,30",0.0001,3000,0.0783018,3,7.98541,0,7.98541
"30,30,30,30",0.0001,3000,0.0783018,4,7.96209,0,7.96209
"30,30,30,30",0.0001,3000,0.0783018,5,7.94178,0,7.94178
"30,30,30,30",0.0001,3000,0.0783018,6,7.92349,0,7.92349
"30,30,30,30",0.0001,3000,0.0783018,7,7.90667,0,7.90667
"30,30,30,30",0.0001,3000,0.0783018,8,7.89098,0,7.89098
"30,30,30,30",0.0001,3000,0.0783018,9,7.87618,0,7.87618
"30,30,30,30",0.0001,3000,0.0783018,10,7.86211,0,7.86211
"30,30,30,30",0.0001,3000,0.0783018,11,7.84864,0,7.84864
"30,30,30,30",0.0001,3000,0.0783018,12,7.83569,0,7.83569
"30,30,30,30",0.0001,3000,0.0783018,13,7.82317,0,7.82317
"30,30,30,30",0.0001,3000,0.0783018,14,7.81104,0,7.81104
"30,30,30,30",0.0001,3000,0.0783018,15,7.79924,0,7.79924
"30,30,30,30",0.0001,3000,0.0783018,16,7.78773,0,7.78773
"30,30,30,30",0.0001,3000,0.0783018,17,7.77648,0,7.77648
"30,30,30,30",0.0001,3000,0.0783018,18,7.76546,0,7.76546
"30,30,30,30",0.0001,3000,0.0783018,19,7.75465,0,7.75465
"30,30,30,30",0.0001,3000,0.0783018,20,7.74402,0,7.74402
"30,30,30,30",0.0001,3000,0.0783018,21,7.73357,0,7.73357
"30,30,30,30",0.0001,3000,0.0783018,22,7.72327,0,7.72327
"30,30,30,30",0.0001,3000,0.0783018,23,7.7131,0,7.7131
"30,30,30,30",0.0001,3000,0.0783018,24,7.70306,0,7.70306
"30,30,30,30",0.0001,3000,0.0783018,25,7.69314,0,7.69314
"30,30,30,30",0.0001,3000,0.0783018,26,7.68332,0,7.68332
"30,30,30,30",0.0001,3000,0.0783018,27,7.67359,0,7.67359
"30,30,30,30",0.0001,3000,0.0783018,28,7.66395,0,7.66395
"30,30,30,30",0.0001,3000,0.0783018,29,7.65438,0,7.65438
"30,30,30,30",0.0001,3000,0.0783018,30,7.64489,0,7.64489
"30,30,30,30",0.0001,3000,0.0783018,31,7.63546,0,7.63546
"30,30,30,30",0.0001,3000,0.0783018,32,7.62609,0,7.62609
"30,30,30,30",0.0001,3000,0.0783018,33,7.61678,0,7.61678
"30,30,30,30",0.0001,3000,0.0783018,34,7.60751,0,7.60751
"30,30,30,30",0.0001,3000,0.0783018,35,7.59828,0,7.59828
"30,30,30,30",0.0001,3000,0.0783018,36,7.58909,0,7.58909
"30,30,30,30",0.0001,3000,0.0783018,37,7.57994,0,7.57994
"30,30,30,30",0.0001,3000,0.0783018,38,7.57081,0,7.57081
"30,30,30,30",0.0001,3000,0.0783018,39,7.56171,0,7.56171
"30,30,30,30",0.0001,3000,0.0783018,40,7.55263,0,7.55263
"30,30,30,30",0.0001,3000,0.0783018,41,7.54357,0,7.54357
"30,30,30,30",0.0001,3000,0.0783018,42,7.53453,0,7.53453
"30,30,30,30",0.0001,3000,0.0783018,43,7.5255,0,7.5255
"30,30,30,30",0.0001,3000,0.0783018,44,7.51648,0,7.51648
"30,30,30,30",0.0001,3000,0.0783018,45,7.50747,0,7.50747
"30,30,30,30",0.0001,3000,0.0783018,46,7.49846,0,7.49846
"30,30,30,30",0.0001,3000,0.0783018,47,7.48946,0,7.48946
"30,30,30,30",0.0001,3000,0.0783018,48,7.48046,0,7.48046
"30,30,30,30",0.0001,3000,0.0783018,49,7.47145,0,7.47145
"30,30,30,30",0.0001,3000,0.0783018,50,7.46244,0,7.46244
"30,30,30,30",0.0001,3000,0.0783018,51,7.45342,0,7.45342
"30,30,30,30",0.0001,3000,0.0783018,52,7.4444,0,7.4444
"30,30,30,30",0.0001,3000,0.0783018,53,7.43536,0,7.43536
"30,30,30,30",0.0001,3000,0.0783018,54,7.42631,0,7.42631
"30,30,30,30",0.0001,3000,0.0783018,55,7.41725,0,7.41725
"30,30,30,30",0.0001,3000,0.0783018,56,7.40817,0,7.40817
"30,30,30,30",0.0001,3000,0.0783018,57,7.39907,0,7.39907
"30,30,30,30",0.0001,3000,0.0783018,58,7.38996,0,7.38996
"30,30,30,30",0.0001,3000,0.0783018,59,7.38082,0,7.38082
"30,30,30,30",0.0001,3000,0.0783018,60,7.37166,0,7.37166
"30,30,30,30",0.0001,3000,0.0783018,61,7.36248,0,7.36248
"30,30,30,30",0.0001,3000,0.0783018,62,7.35326,0,7.35326
"30,30,30,30",0.0001,3000,0.0783018,63,7.34403,0,7.34403
"30,30,30,30",0.0001,3000,0.0783018,64,7.33476,0,7.33476
"30,30,30,30",0.0001,3000,0.0783018,65,7.32546,0,7.32546
"30,30,30,30",0.0001,3000,0.0783018,66,7.31613,0,7.31613
"30,30,30,30",0.0001,3000,0.0783018,67,7.30676,0,7.30676
"30,30,30,30",0.0001,3000,0.0783018,68,7.29736,0,7.29736
"30,30,30,30",0.0001,3000,0.0783018,69,7.28793,0,7.28793
"30,30,30,30",0.0001,3000,0.0783018,70,7.27845,0,7.27845
"30,30,30,30",0.0001,3000,0.0783018,71,7.26894,0,7.26894
"30,30,30,30",0.0001,3000,0.0783018,72,7.25938,0,7.25938
"30,30,30,30",0.0001,3000,0.0783018,73,7.24978,0,7.24978
"30,30,30,30",0.0001,3000,0.0783018,74,7.24014,0,7.24014
"30,30,30,30",0.0001,3000,0.0783018,75,7.23045,0,7.23045
"30,30,30,30",0.0001,3000,0.0783018,76,7.22072,0,7.22072
"30,30,30,30",0.0001,3000,0.0783018,77,7.21094,0,7.21094
"30,30,30,30",0.0001,3000,0.0783018,78,7.20111,0,7.20111
"30,30,30,30",0.0001,3000,0.0783018,79,7.19123,0,7.19123
"30,30,30,30",0.0001,3000,0.0783018,80,7.1813,0,7.1813
"30,30,30,30",0.0001,3000,0.0783018,81,7.17132,0,7.17132
"30,30,30,30",0.0001,3000,0.0783018,82,7.16128,0,7.16128
"30,30,30,30",0.0001,3000,0.0783018,83,7.15119,0,7.15119
"30,30,30,30",0.0001,3000,0.0783018,84,7.14104,0,7.14104
"30,30,30,30",0.0001,3000,0.0783018,85,7.13084,0,7.13084
"30,30,30,30",0.0001,3000,0.0783018,86,7.12057,0,7.12057
"30,30,30,30",0.0001,3000,0.0783018,87,7.11025,0,7.11025
"30,30,30,30",0.0001,3000,0.0783018,88,7.09987,0,7.09987
"30,30,30,30",0.0001,3000,0.0783018,89,7.08942,0,7.08942
"30,30,30,30",0.0001,3000,0.0783018,90,7.07891,0,7.07891
"30,30,30,30",0.0001,3000,0.0783018,91,7.06834,0,7.06834
"30,30,30,30",0.0001,3000,0.0783018,92,7.05771,0,7.05771
"30,30,30,30",0.0001,3000,0.0783018,93,7.04701,0,7.04701
"30,30,30,30",0.0001,3000,0.0783018,94,7.03624,0,7.03624
"30,30,30,30",0.0001,3000,0.0783018,95,7.0254,0,7.0254
"30,30,30,30",0.0001,3000,0.0783018,96,7.01449,0,7.01449
"30,30,30,30",0.0001,3000,0.0783018,97,7.00352,0,7.00352
"30,30,30,30",0.0001,3000,0.0783018,98,6.99247,0,6.99247
"30,30,30,30",0.0001,3000,0.0783018,99,6.98135,0,6.98135
"30,30,30,30",0.0001,3000,0.0783018,100,6.97016,0,6.97016
"30,30,30,30",0.0001,3000,0.0783018,101,6.9589,0,6.9589
