HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"10,10,10,10",0.0001,3000,0.0783018,1,7.11264,0,7.11264
"10,10,10,10",0.0001,3000,0.0783018,2,7.09048,0,7.09048
"10,10,10,10",0.0001,3000,0.0783018,3,7.07478,0,7.07478
"10,10,10,10",0.0001,3000,0.0783018,4,7.06193,0,7.06193
"10,10,10,10",0.0001,3000,0.0783018,5,7.05077,0,7.05077
"10,10,10,10",0.0001,3000,0.0783018,6,7.04077,0,7.04077
"10,10,10,10",0.0001,3000,0.0783018,7,7.03161,0,7.03161
"10,10,10,10",0.0001,3000,0.0783018,8,7.0231,0,7.0231
"10,10,10,10",0.0001,3000,0.0783018,9,7.01512,0,7.01512
"10,10,10,10",0.0001,3000,0.0783018,10,7.00758,0,7.00758
"10,10,10,10",0.0001,3000,0.0783018,11,7.0004,0,7.0004
"10,10,10,10",0.0001,3000,0.0783018,12,6.99353,0,6.99353
"10,10,10,10",0.0001,3000,0.0783018,13,6.98694,0,6.98694
"10,10,10,10",0.0001,3000,0.0783018,14,6.98059,0,6.98059
"10,10,10,10",0.0001,3000,0.0783018,15,6.97445,0,6.97445
"10,10,10,10",0.0001,3000,0.0783018,16,6.96849,0,6.96849
"10,10,10,10",0.0001,3000,0.0783018,17,6.96272,0,6.96272
"10,10,10,10",0.0001,3000,0.0783018,18,6.95709,0,6.95709
"10,10,10,10",0.0001,3000,0.0783018,19,6.95161,0,6.95161
"10,10,10,10",0.0001,3000,0.0783018,20,6.94626,0,6.94626
"10,10,10,10",0.0001,3000,0.0783018,21,6.94102,0,6.94102
"10,10,10,10",0.0001,3000,0.0783018,22,6.9359,0,6.9359
"10,10,10,10",0.0001,3000,0.0783018,23,6.93088,0,6.93088
"10,10,10,10",0.0001,3000,0.0783018,24,6.92596,0,6.92596
"10,10,10,10",0.0001,3000,0.0783018,25,6.92112,0,6.92112
"10,10,10,10",0.0001,3000,0.0783018,26,6.91637,0,6.91637
"10,10,10,10",0.0001,3000,0.0783018,27,6.91169,0,6.91169
"10,10,10,10",0.0001,3000,0.0783018,28,6.90709,0,6.90709
"10,10,10,10",0.0001,3000,0.0783018,29,6.90255,0,6.90255
"10,10,10,10",0.0001,3000,0.0783018,30,6.89809,0,6.89809
"10,10,10,10",0.0001,3000,0.0783018,31,6.89368,0,6.89368
"10,10,10,10",0.0001,3000,0.0783018,32,6.88933,0,6.88933
"10,10,10,10",0.0001,3000,0.0783018,33,6.88503,0,6.88503
"10,10,10,10",0.0001,3000,0.0783018,34,6.88079,0,6.88079
"10,10,10,10",0.0001,3000,0.0783018,35,6.8766,0,6.8766
"10,10,10,10",0.0001,3000,0.0783018,36,6.87245,0,6.87245
"10,10,10,10",0.0001,3000,0.0783018,37,6.86835,0,6.86835
"10,10,10,10",0.0001,3000,0.0783018,38,6.8643,0,6.8643
"10,10,10,10",0.0001,3000,0.0783018,39,6.86028,0,6.86028
"10,10,10,10",0.0001,3000,0.0783018,40,6.8563,0,6.8563
"10,10,10,10",0.0001,3000,0.0783018,41,6.85236,0,6.85236
"10,10,10,10",0.0001,3000,0.0783018,42,6.84846,0,6.84846
"10,10,10,10",0.0001,3000,0.0783018,43,6.84459,0,6.84459
"10,10,10,10",0.0001,3000,0.0783018,44,6.84075,0,6.84075
"10,10,10,10",0.0001,3000,0.0783018,45,6.83694,0,6.83694
"10,10,10,10",0.0001,3000,0.0783018,46,6.83317,0,6.83317
"10,10,10,10",0.0001,3000,0.0783018,47,6.82942,0,6.82942
"10,10,10,10",0.0001,3000,0.0783018,48,6.8257,0,6.8257
"10,10,10,10",0.0001,3000,0.0783018,49,6.82201,0,6.82201
"10,10,10,10",0.0001,3000,0.0783018,50,6.81835,0,6.81835
"10,10,10,10",0.0001,3000,0.0783018,51,6.8147,0,6.8147
"10,10,10,10",0.0001,3000,0.0783018,52,6.81109,0,6.81109
"10,10,10,10",0.0001,3000,0.0783018,53,6.80749,0,6.80749
"10,10,10,10",0.0001,3000,0.0783018,54,6.80392,0,6.80392
"10,10,10,10",0.0001,3000,0.0783018,55,6.80037,0,6.80037
"10,10,10,10",0.0001,3000,0.0783018,56,6.79684,0,6.79684
"10,10,10,10",0.0001,3000,0.0783018,57,6.79333,0,6.79333
"10,10,10,10",0.0001,3000,0.0783018,58,6.78984,0,6.78984
"10,10,10,10",0.0001,3000,0.0783018,59,6.78637,0,6.78637
"10,10,10,10",0.0001,3000,0.0783018,60,6.78292,0,6.78292
"10,10,10,10",0.0001,3000,0.0783018,61,6.77948,0,6.77948
"10,10,10,10",0.0001,3000,0.0783018,62,6.77607,0,6.77607
"10,10,10,10",0.0001,3000,0.0783018,63,6.77266,0,6.77266
"10,10,10,10",0.0001,3000,0.0783018,64,6.76928,0,6.76928
"10,10,10,10",0.0001,3000,0.0783018,65,6.76591,0,6.76591
"10,10,10,10",0.0001,3000,0.0783018,66,6.76255,0,6.76255
"10,10,10,10",0.0001,3000,0.0783018,67,6.75921,0,6.75921
"10,10,10,10",0.0001,3000,0.0783018,68,6.75589,0,6.75589
"10,10,10,10",0.0001,3000,0.0783018,69,6.75257,0,6.75257
"10,10,10,10",0.0001,3000,0.0783018,70,6.74928,0,6.74928
"10,10,10,10",0.0001,3000,0.0783018,71,6.74599,0,6.74599
"10,10,10,10",0.0001,3000,0.0783018,72,6.74272,0,6.74272
"10,10,10,10",0.0001,3000,0.0783018,73,6.73945,0,6.73945
"10,10,10,10",0.0001,3000,0.0783018,74,6.7362,0,6.7362
"10,10,10,10",0.0001,3000,0.0783018,75,6.73297,0,6.73297
"10,10,10,10",0.0001,3000,0.0783018,76,6.72974,0,6.72974
"10,10,10,10",0.0001,3000,0.0783018,77,6.72652,0,6.72652
"10,10,10,10",0.0001,3000,0.0783018,78,6.72332,0,6.72332
"10,10,10,10",0.0001,3000,0.0783018,79,6.72012,0,6.72012
"10,10,10,10",0.0001,3000,0.0783018,80,6.71694,0,6.71694
"10,10,10,10",0.0001,3000,0.0783018,81,6.71377,0,6.71377
"10,10,10,10",0.0001,3000,0.0783018,82,6.7106,0,6.7106
"10,10,10,10",0.0001,3000,0.0783018,83,6.70745,0,6.70745
"10,10,10,10",0.0001,3000,0.0783018,84,6.7043,0,6.7043
"10,10,10,10",0.0001,3000,0.0783018,85,6.70116,0,6.70116
"10,10,10,10",0.0001,3000,0.0783018,86,6.69803,0,6.69803
"10,10,10,10",0.0001,3000,0.0783018,87,6.69491,0,6.69491
"10,10,10,10",0.0001,3000,0.0783018,88,6.6918,0,6.6918
"10,10,10,10",0.0001,3000,0.0783018,89,6.68869,0,6.68869
"10,10,10,10",0.0001,3000,0.0783018,90,6.6856,0,6.6856
"10,10,10,10",0.0001,3000,0.0783018,91,6.68251,0,6.68251
"10,10,10,10",0.0001,3000,0.0783018,92,6.67943,0,6.67943
"10,10,10,10",0.0001,3000,0.0783018,93,6.67635,0,6.67635
"10,10,10,10",0.0001,3000,0.0783018,94,6.67329,0,6.67329
"10,10,10,10",0.0001,3000,0.0783018,95,6.67023,0,6.67023
"10,10,10,10",0.0001,3000,0.0783018,96,6.66717,0,6.66717
"10,10,10,10",0.0001,3000,0.0783018,97,6.66413,0,6.66413
"10,10,10,10",0.0001,3000,0.0783018,98,6.66109,0,6.66109
"10,10,10,10",0.0001,3000,0.0783018,99,6.65805,0,6.65805
"10,10,10,10",0.0001,3000,0.0783018,100,6.65502,0,6.65502
