HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"10,10,10,10,10,10",0.0001,3000,0.0783018,1,8.24342,0,8.24342
"10,10,10,10,10,10",0.0001,3000,0.0783018,2,8.21667,0,8.21667
"10,10,10,10,10,10",0.0001,3000,0.0783018,3,8.19752,0,8.19752
"10,10,10,10,10,10",0.0001,3000,0.0783018,4,8.18174,0,8.18174
"10,10,10,10,10,10",0.0001,3000,0.0783018,5,8.16794,0,8.16794
"10,10,10,10,10,10",0.0001,3000,0.0783018,6,8.1555,0,8.1555
"10,10,10,10,10,10",0.0001,3000,0.0783018,7,8.14406,0,8.14406
"10,10,10,10,10,10",0.0001,3000,0.0783018,8,8.13339,0,8.13339
"10,10,10,10,10,10",0.0001,3000,0.0783018,9,8.12334,0,8.12334
"10,10,10,10,10,10",0.0001,3000,0.0783018,10,8.1138,0,8.1138
"10,10,10,10,10,10",0.0001,3000,0.0783018,11,8.10469,0,8.10469
"10,10,10,10,10,10",0.0001,3000,0.0783018,12,8.09594,0,8.09594
"10,10,10,10,10,10",0.0001,3000,0.0783018,13,8.08752,0,8.08752
"10,10,10,10,10,10",0.0001,3000,0.0783018,14,8.07938,0,8.07938
"10,10,10,10,10,10",0.0001,3000,0.0783018,15,8.07148,0,8.07148
"10,10,10,10,10,10",0.0001,3000,0.0783018,16,8.06381,0,8.06381
"10,10,10,10,10,10",0.0001,3000,0.0783018,17,8.05634,0,8.05634
"10,10,10,10,10,10",0.0001,3000,0.0783018,18,8.04905,0,8.04905
"10,10,10,10,10,10",0.0001,3000,0.0783018,19,8.04192,0,8.04192
"10,10,10,10,10,10",0.0001,3000,0.0783018,20,8.03494,0,8.03494
"10,10,10,10,10,10",0.0001,3000,0.0783018,21,8.02811,0,8.02811
"10,10,10,10,10,10",0.0001,3000,0.0783018,22,8.0214,0,8.0214
"10,10,10,10,10,10",0.0001,3000,0.0783018,23,8.01481,0,8.01481
"10,10,10,10,10,10",0.0001,3000,0.0783018,24,8.00833,0,8.00833
"10,10,10,10,10,10",0.0001,3000,0.0783018,25,8.00195,0,8.00195
"10,10,10,10,10,10",0.0001,3000,0.0783018,26,7.99566,0,7.99566
"10,10,10,10,10,10",0.0001,3000,0.0783018,27,7.98947,0,7.98947
"10,10,10,10,10,10",0.0001,3000,0.0783018,28,7.98336,0,7.98336
"10,10,10,10,10,10",0.0001,3000,0.0783018,29,7.97733,0,7.97733
"10,10,10,10,10,10",0.0001,3000,0.0783018,30,7.97137,0,7.97137
"10,10,10,10,10,10",0.0001,3000,0.0783018,31,7.96548,0,7.96548
"10,10,10,10,10,10",0.0001,3000,0.0783018,32,7.95966,0,7.95966
"10,10,10,10,10,10",0.0001,3000,0.0783018,33,7.9539,0,7.9539
"10,10,10,10,10,10",0.0001,3000,0.0783018,34,7.9482,0,7.9482
"10,10,10,10,10,10",0.0001,3000,0.0783018,35,7.94256,0,7.94256
"10,10,10,10,10,10",0.0001,3000,0.0783018,36,7.93697,0,7.93697
"10,10,10,10,10,10",0.0001,3000,0.0783018,37,7.93143,0,7.93143
"10,10,10,10,10,10",0.0001,3000,0.0783018,38,7.92594,0,7.92594
"10,10,10,10,10,10",0.0001,3000,0.0783018,39,7.92049,0,7.92049
"10,10,10,10,10,10",0.0001,3000,0.0783018,40,7.91509,0,7.91509
"10,10,10,10,10,10",0.0001,3000,0.0783018,41,7.90973,0,7.90973
"10,10,10,10,10,10",0.0001,3000,0.0783018,42,7.90442,0,7.90442
"10,10,10,10,10,10",0.0001,3000,0.0783018,43,7.89913,0,7.89913
"10,10,10,10,10,10",0.0001,3000,0.0783018,44,7.89389,0,7.89389
"10,10,10,10,10,10",0.0001,3000,0.0783018,45,7.88868,0,7.88868
"10,10,10,10,10,10",0.0001,3000,0.0783018,46,7.8835,0,7.8835
"10,10,10,10,10,10",0.0001,3000,0.0783018,47,7.87836,0,7.87836
"10,10,10,10,10,10",0.0001,3000,0.0783018,48,7.87325,0,7.87325
"10,10,10,10,10,10",0.0001,3000,0.0783018,49,7.86817,0,7.86817
"10,10,10,10,10,10",0.0001,3000,0.0783018,50,7.86311,0,7.86311
"10,10,10,10,10,10",0.0001,3000,0.0783018,51,7.85808,0,7.85808
"10,10,10,10,10,10",0.0001,3000,0.0783018,52,7.85308,0,7.85308
"10,10,10,10,10,10",0.0001,3000,0.0783018,53,7.84811,0,7.84811
