HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"30,30,30,30,30",0.0001,3000,0.0783018,1,8.06163,0,8.06163
"30,30,30,30,30",0.0001,3000,0.0783018,2,8.01288,0,8.01288
"30,30,30,30,30",0.0001,3000,0.0783018,3,7.97804,0,7.97804
"30,30,30,30,30",0.0001,3000,0.0783018,4,7.94922,0,7.94922
"30,30,30,30,30",0.0001,3000,0.0783018,5,7.92393,0,7.92393
"30,30,30,30,30",0.0001,3000,0.0783018,6,7.90102,0,7.90102
"30,30,30,30,30",0.0001,3000,0.0783018,7,7.87984,0,7.87984
"30,30,30,30,30",0.0001,3000,0.0783018,8,7.85997,0,7.85997
"30,30,30,30,30",0.0001,3000,0.0783018,9,7.84114,0,7.84114
"30,30,30,30,30",0.0001,3000,0.0783018,10,7.82316,0,7.82316
"30,30,30,30,30",0.0001,3000,0.0783018,11,7.80589,0,7.80589
"30,30,30,30,30",0.0001,3000,0.0783018,12,7.78921,0,7.78921
"30,30,30,30,30",0.0001,3000,0.0783018,13,7.77303,0,7.77303
"30,30,30,30,30",0.0001,3000,0.0783018,14,7.7573,0,7.7573
"30,30,30,30,30",0.0001,3000,0.0783018,15,7.74194,0,7.74194
"30,30,30,30,30",0.0001,3000,0.0783018,16,7.72691,0,7.72691
"30,30,30,30,30",0.0001,3000,0.0783018,17,7.71217,0,7.71217
"30,30,30,30,30",0.0001,3000,0.0783018,18,7.69768,0,7.69768
"30,30,30,30,30",0.0001,3000,0.0783018,19,7.68343,0,7.68343
"30,30,30,30,30",0.0001,3000,0.0783018,20,7.66937,0,7.66937
"30,30,30,30,30",0.0001,3000,0.0783018,21,7.65549,0,7.65549
"30,30,30,30,30",0.0001,3000,0.0783018,22,7.64177,0,7.64177
"30,30,30,30,30",0.0001,3000,0.0783018,23,7.62819,0,7.62819
"30,30,30,30,30",0.0001,3000,0.0783018,24,7.61473,0,7.61473
"30,30,30,30,30",0.0001,3000,0.0783018,25,7.60139,0,7.60139
"30,30,30,30,30",0.0001,3000,0.0783018,26,7.58814,0,7.58814
"30,30,30,30,30",0.0001,3000,0.0783018,27,7.57498,0,7.57498
