HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"20,20,20,20,20",0.0001,3000,0.0783018,1,7.93572,0,7.93572
"20,20,20,20,20",0.0001,3000,0.0783018,2,7.90083,0,7.90083
"20,20,20,20,20",0.0001,3000,0.0783018,3,7.87639,0,7.87639
"20,20,20,20,20",0.0001,3000,0.0783018,4,7.85651,0,7.85651
"20,20,20,20,20",0.0001,3000,0.0783018,5,7.83934,0,7.83934
"20,20,20,20,20",0.0001,3000,0.0783018,6,7.82399,0,7.82399
"20,20,20,20,20",0.0001,3000,0.0783018,7,7.80999,0,7.80999
"20,20,20,20,20",0.0001,3000,0.0783018,8,7.79703,0,7.79703
"20,20,20,20,20",0.0001,3000,0.0783018,9,7.78489,0,7.78489
"20,20,20,20,20",0.0001,3000,0.0783018,10,7.77344,0,7.77344
"20,20,20,20,20",0.0001,3000,0.0783018,11,7.76257,0,7.76257
"20,20,20,20,20",0.0001,3000,0.0783018,12,7.75218,0,7.75218
"20,20,20,20,20",0.0001,3000,0.0783018,13,7.74222,0,7.74222
"20,20,20,20,20",0.0001,3000,0.0783018,14,7.73264,0,7.73264
"20,20,20,20,20",0.0001,3000,0.0783018,15,7.72339,0,7.72339
"20,20,20,20,20",0.0001,3000,0.0783018,16,7.71444,0,7.71444
"20,20,20,20,20",0.0001,3000,0.0783018,17,7.70575,0,7.70575
"20,20,20,20,20",0.0001,3000,0.0783018,18,7.69731,0,7.69731
"20,20,20,20,20",0.0001,3000,0.0783018,19,7.68909,0,7.68909
"20,20,20,20,20",0.0001,3000,0.0783018,20,7.68107,0,7.68107
"20,20,20,20,20",0.0001,3000,0.0783018,21,7.67324,0,7.67324
"20,20,20,20,20",0.0001,3000,0.0783018,22,7.66558,0,7.66558
"20,20,20,20,20",0.0001,3000,0.0783018,23,7.65808,0,7.65808
"20,20,20,20,20",0.0001,3000,0.0783018,24,7.65073,0,7.65073
"20,20,20,20,20",0.0001,3000,0.0783018,25,7.64352,0,7.64352
"20,20,20,20,20",0.0001,3000,0.0783018,26,7.63643,0,7.63643
"20,20,20,20,20",0.0001,3000,0.0783018,27,7.62947,0,7.62947
