HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,1,6.43479,0,6.43479
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,2,6.41266,0,6.41266
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,3,6.39702,0,6.39702
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,4,6.38426,0,6.38426
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,5,6.37319,0,6.37319
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,6,6.36329,0,6.36329
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,7,6.35423,0,6.35423
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,8,6.34583,0,6.34583
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,9,6.33795,0,6.33795
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,10,6.33052,0,6.33052
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,11,6.32344,0,6.32344
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,12,6.31669,0,6.31669
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,13,6.3102,0,6.3102
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,14,6.30396,0,6.30396
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,15,6.29792,0,6.29792
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,16,6.29207,0,6.29207
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,17,6.2864,0,6.2864
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,18,6.28088,0,6.28088
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,19,6.27549,0,6.27549
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,20,6.27024,0,6.27024
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,21,6.2651,0,6.2651
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,22,6.26008,0,6.26008
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,23,6.25515,0,6.25515
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,24,6.25032,0,6.25032
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,25,6.24557,0,6.24557
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,26,6.24091,0,6.24091
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,27,6.23633,0,6.23633
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,28,6.23181,0,6.23181
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,29,6.22736,0,6.22736
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,30,6.22298,0,6.22298
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,31,6.21866,0,6.21866
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,32,6.21439,0,6.21439
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,33,6.21018,0,6.21018
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,34,6.20602,0,6.20602
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,35,6.20191,0,6.20191
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,36,6.19784,0,6.19784
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,37,6.19382,0,6.19382
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,38,6.18984,0,6.18984
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,39,6.1859,0,6.1859
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,40,6.182,0,6.182
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,41,6.17814,0,6.17814
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,42,6.17431,0,6.17431
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,43,6.17051,0,6.17051
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,44,6.16675,0,6.16675
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,45,6.16302,0,6.16302
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,46,6.15932,0,6.15932
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,47,6.15565,0,6.15565
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,48,6.152,0,6.152
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,49,6.14838,0,6.14838
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,50,6.14479,0,6.14479
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,51,6.14122,0,6.14122
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,52,6.13768,0,6.13768
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,53,6.13416,0,6.13416
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,54,6.13066,0,6.13066
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,55,6.12718,0,6.12718
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,56,6.12372,0,6.12372
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,57,6.12029,0,6.12029
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,58,6.11687,0,6.11687
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,59,6.11347,0,6.11347
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,60,6.11009,0,6.11009
"10,10,10,10,10,10,10",0.0001,3000,0.0783018,61,6.10673,0,6.10673
