HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"10,10,10,10,10,10",0.001,3000,0.0783018,1,7.47925,0,7.47925
"10,10,10,10,10,10",0.001,3000,0.0783018,2,7.27287,0,7.27287
"10,10,10,10,10,10",0.001,3000,0.0783018,3,7.12491,0,7.12491
"10,10,10,10,10,10",0.001,3000,0.0783018,4,6.99729,0,6.99729
"10,10,10,10,10,10",0.001,3000,0.0783018,5,6.8797,0,6.8797
"10,10,10,10,10,10",0.001,3000,0.0783018,6,6.76775,0,6.76775
"10,10,10,10,10,10",0.001,3000,0.0783018,7,6.65899,0,6.65899
"10,10,10,10,10,10",0.001,3000,0.0783018,8,6.5518,0,6.5518
"10,10,10,10,10,10",0.001,3000,0.0783018,9,6.44487,0,6.44487
"10,10,10,10,10,10",0.001,3000,0.0783018,10,6.33697,0,6.33697
"10,10,10,10,10,10",0.001,3000,0.0783018,11,6.22696,0,6.22696
"10,10,10,10,10,10",0.001,3000,0.0783018,12,6.11383,0,6.11383
"10,10,10,10,10,10",0.001,3000,0.0783018,13,5.99666,0,5.99666
"10,10,10,10,10,10",0.001,3000,0.0783018,14,5.87452,0,5.87452
"10,10,10,10,10,10",0.001,3000,0.0783018,15,5.74633,0,5.74633
"10,10,10,10,10,10",0.001,3000,0.0783018,16,5.61081,0,5.61081
"10,10,10,10,10,10",0.001,3000,0.0783018,17,5.46646,0,5.46646
"10,10,10,10,10,10",0.001,3000,0.0783018,18,5.31167,0,5.31167
"10,10,10,10,10,10",0.001,3000,0.0783018,19,5.14481,0,5.14481
"10,10,10,10,10,10",0.001,3000,0.0783018,20,4.9644,0,4.9644
"10,10,10,10,10,10",0.001,3000,0.0783018,21,4.76913,0,4.76913
"10,10,10,10,10,10",0.001,3000,0.0783018,22,4.55797,0,4.55797
"10,10,10,10,10,10",0.001,3000,0.0783018,23,4.33027,0,4.33027
"10,10,10,10,10,10",0.001,3000,0.0783018,24,4.08616,0,4.08616
"10,10,10,10,10,10",0.001,3000,0.0783018,25,3.8268,0,3.8268
"10,10,10,10,10,10",0.001,3000,0.0783018,26,3.55454,0,3.55454
"10,10,10,10,10,10",0.001,3000,0.0783018,27,3.27295,0,3.27295
