HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"20,20,20,20,20,20,20",0.001,3000,0.0783018,1,8.03245,0,8.03245
"20,20,20,20,20,20,20",0.001,3000,0.0783018,2,7.75563,0,7.75563
"20,20,20,20,20,20,20",0.001,3000,0.0783018,3,7.53857,0,7.53857
"20,20,20,20,20,20,20",0.001,3000,0.0783018,4,7.33022,0,7.33022
"20,20,20,20,20,20,20",0.001,3000,0.0783018,5,7.10736,0,7.10736
"20,20,20,20,20,20,20",0.001,3000,0.0783018,6,6.84506,0,6.84506
"20,20,20,20,20,20,20",0.001,3000,0.0783018,7,6.50648,0,6.50648
"20,20,20,20,20,20,20",0.001,3000,0.0783018,8,6.03243,0,6.03243
"20,20,20,20,20,20,20",0.001,3000,0.0783018,9,5.33453,0,5.33453
"20,20,20,20,20,20,20",0.001,3000,0.0783018,10,4.302,0,4.302
"20,20,20,20,20,20,20",0.001,3000,0.0783018,11,2.90579,0,2.90579
"20,20,20,20,20,20,20",0.001,3000,0.0783018,12,1.60268,0,1.60268
"20,20,20,20,20,20,20",0.001,3000,0.0783018,13,1.15765,0,1.15765
"20,20,20,20,20,20,20",0.001,3000,0.0783018,14,0.983295,0,0.983295
"20,20,20,20,20,20,20",0.001,3000,0.0783018,15,0.862345,0,0.862345
"20,20,20,20,20,20,20",0.001,3000,0.0783018,16,0.774207,0,0.774207
"20,20,20,20,20,20,20",0.001,3000,0.0783018,17,0.699298,0,0.699298
"20,20,20,20,20,20,20",0.001,3000,0.0783018,18,0.641363,0,0.641363
"20,20,20,20,20,20,20",0.001,3000,0.0783018,19,0.590839,0,0.590839
"20,20,20,20,20,20,20",0.001,3000,0.0783018,20,0.553252,0,0.553252
"20,20,20,20,20,20,20",0.001,3000,0.0783018,21,0.520128,0,0.520128
"20,20,20,20,20,20,20",0.001,3000,0.0783018,22,0.49513,0,0.49513
"20,20,20,20,20,20,20",0.001,3000,0.0783018,23,0.471556,0,0.471556
"20,20,20,20,20,20,20",0.001,3000,0.0783018,24,0.453657,0,0.453657
"20,20,20,20,20,20,20",0.001,3000,0.0783018,25,0.435119,0,0.435119
"20,20,20,20,20,20,20",0.001,3000,0.0783018,26,0.421263,0,0.421263
